id,label,type,description,lens,examples,terminology,notes
time spent   with family ⎼ where: at home,time spent   with family,, ⎼ where: at home,social,,,
time spent   working ⎻ subject: fishermen ⎼ where: out on the ocean,time spent   working,, ⎻ subject: fishermen ⎼ where: out on the ocean,individual/human,,,
time spent  waiting for a response ⎼ where: online,time spent  waiting for a response,, ⎼ where: online,digital,,,
time spent  working ⎼ where: from home,time spent  working,, ⎼ where: from home,individual/human,,,
frequency of checking Zoom chat ⎻ subject: education (instructor),frequency of checking Zoom chat,, ⎻ subject: education (instructor),digital,,,
production of waste,production of waste,,,manufactured,,,
necessity for work from home equipment,necessity for work from home equipment,,,manufactured,,,
income ⎺ household,income,, ⎺ household,financial,,,
income,income,,,financial,,,
appreciation of living environment,appreciation of living environment,,,individual/human,,,
appreciation of nature,appreciation of nature,,,individual/human,,,
number of assignments given during remote teaching,number of assignments given during remote teaching,,,social,,,
time spent  acquiring personal protective equipment,time spent  acquiring personal protective equipment,,,manufactured,,,
 of attentiveness ⎻ subject: provider (public), of attentiveness,, ⎻ subject: provider (public),cultural,,,
availability of jobs,availability of jobs,,,social,,,
availability of products ⎼ where: in stores,availability of products,, ⎼ where: in stores,manufactured,,,
availability of products ⎼ where: online,availability of products,, ⎼ where: online,manufactured,,,
support given to households affected by TB ⎻ subject: government,support given to households affected by TB,, ⎻ subject: government,governmental/political,,,
availability of TB diagnostics and treatments,availability of TB diagnostics and treatments,,,manufactured,,,
availability of TB services at first point of care,availability of TB services at first point of care,,,social,primary health centers,,
size of residence ⎺ average,size of residence,, ⎺ average,manufactured,,,
awareness of TB ⎻ subject: family,awareness of TB,, ⎻ subject: family,social,,,
awareness of COVID-19 hotspots,awareness of COVID-19 hotspots,,,individual/human,,,
awareness of increase in COVID-19 cases,awareness of increase in COVID-19 cases,,,individual/human,,,
awareness of public health measures,awareness of public health measures,,,individual/human,,,
awareness of COVID-19 health risks,awareness of COVID-19 health risks,,,individual/human,,,
awareness of TB status,awareness of TB status,,,individual/human,,,
awareness of availability of free public TB treatment,awareness of availability of free public TB treatment,,,individual/human,,,
"awareness of DOTS efficacy (directly observed treatment, short-course)","awareness of DOTS efficacy (directly observed treatment, short-course)",,,individual/human,,,
trust in destiny,trust in destiny,,,individual/human,,,
trust in karma,trust in karma,,,individual/human,,,
capacity to sustain operations ⎻ subject: business (any),capacity to sustain operations,, ⎻ subject: business (any),social,,,
capacity to support treatment adherence ⎻ subject: provider (private),capacity to support treatment adherence,, ⎻ subject: provider (private),social,,,
capacity to conduct health surveillance,capacity to conduct health surveillance,,,governmental/political,,,
enforcement of mandatory TB status notification,enforcement of mandatory TB status notification,,,governmental/political,,,
capacity to monitor for drug-resistant TB,capacity to monitor for drug-resistant TB,,,governmental/political,,,
strength of digital TB status notification system,strength of digital TB status notification system,,,digital,,,
certainty of TB diagnosis,certainty of TB diagnosis,,,individual/human,,,
 of city cleanliness, of city cleanliness,,,manufactured,,,
 of ergonomic comfort of mask, of ergonomic comfort of mask,,,manufactured,,,
quality of communication between public and private providers,quality of communication between public and private providers,,,social,,,
complexity of patient pathway,complexity of patient pathway,,,individual/human,,,
complexity of patient pathway,complexity of patient pathway,,,individual/human,,,
concern for privacy,concern for privacy,,,individual/human,,,
regularity of class schedule,regularity of class schedule,,,cultural,,,
contempt for opposition,contempt for opposition,,,individual/human,,,
control of daily schedule,control of daily schedule,,,individual/human,,,
ability to cook,ability to cook,,,individual/human,,,
coordination between public and private providers,coordination between public and private providers,,,social,,,
coordination between programs for TB and comorbid conditions,coordination between programs for TB and comorbid conditions,,,social,"HIV, diabetes, undernutrition, smoking, alcohol",,
cost of accommodation ⎽ when: during TB treatment,cost of accommodation,, ⎽ when: during TB treatment,financial,,,
cost of food ⎽ when: during TB treatment,cost of food,, ⎽ when: during TB treatment,financial,,,
cost of dietary supplements ⎽ when: during TB treatment,cost of dietary supplements,, ⎽ when: during TB treatment,financial,,,
cost of GeneXpert test ⎻ subject: provider (private),cost of GeneXpert test,, ⎻ subject: provider (private),financial,,,
cost of hospitalization ⎽ when: during TB treatment,cost of hospitalization,, ⎽ when: during TB treatment,financial,,,
cost of lost income,cost of lost income,,,financial,,,
cost of unemployment,cost of unemployment,,,financial,,,
cost of TB treatment,cost of TB treatment,,,financial,,,
cost of lost savings,cost of lost savings,,,financial,,,
cost of transportation ⎽ when: during TB treatment,cost of transportation,, ⎽ when: during TB treatment,financial,,,
cost of TB comorbidity treatment,cost of TB comorbidity treatment,,,financial,,,
spending on healthcare ⎺ out-of-pocket,spending on healthcare,, ⎺ out-of-pocket,financial,,,
cost of healthcare ⎺ direct,cost of healthcare,, ⎺ direct,financial,,,
cost of healthcare ⎺ indirect,cost of healthcare,, ⎺ indirect,financial,,,
coverage of TB services,coverage of TB services,,,governmental/political,,,
satisfaction with everyday life,satisfaction with everyday life,,,individual/human,,,
practice of healthcare system-wide learning,practice of healthcare system-wide learning,,,cultural,,,
delay in TB diagnosis,delay in TB diagnosis,,,individual/human,,,
delay in notifying providers and policymakers,delay in notifying providers and policymakers,,,social,,,
delay in public TB program implementation,delay in public TB program implementation,,,governmental/political,,,
delay in seeking TB care,delay in seeking TB care,,,individual/human,,,
delay in TB treatment,delay in TB treatment,,,individual/human,,,
demand for fitness equipment,demand for fitness equipment,,,manufactured,,,
demand for home cooking,demand for home cooking,,,social,,,
demand for personal protective equipment,demand for personal protective equipment,,,manufactured,,,
demand for products,demand for products,,,manufactured,,,
demand for secondhand laptops,demand for secondhand laptops,,,manufactured,,,
density of waiting room population,density of waiting room population,,,social,,,
desire for protection from virus,desire for protection from virus,,,individual/human,,,
desire for social harmony,desire for social harmony,,,individual/human,,,
wish to be outside,wish to be outside,,,individual/human,,,
wish to continue virtual events,wish to continue virtual events,,,individual/human,,,
desire for foods that are difficult to cook at home,desire for foods that are difficult to cook at home,,,individual/human,,,
wish to eat out,wish to eat out,,,individual/human,,,
wish to exercise at home,wish to exercise at home,,,individual/human,,,
wish to go to the hospital,wish to go to the hospital,,,individual/human,,,
wish to acquire new career skills,wish to acquire new career skills,,,individual/human,,,
wish to limit outdoor social interactions,wish to limit outdoor social interactions,,,individual/human,,,
wish to relocate,wish to relocate,,,individual/human,,,
wish to reciprocate assistance,wish to reciprocate assistance,,,individual/human,,,
wish to share knowledge,wish to share knowledge,,,individual/human,,,
wish to smoke,wish to smoke,,,individual/human,,,
wish to spend less on personal protective equipment,wish to spend less on personal protective equipment,,,individual/human,,,
wish to spend more time with family at home,wish to spend more time with family at home,,,individual/human,,,
wish to start a new business,wish to start a new business,,,individual/human,,,
wish to travel,wish to travel,,,individual/human,,,
wish to travel ⎼ where: to countryside,wish to travel,, ⎼ where: to countryside,individual/human,,,
wish to mask,wish to mask,,,individual/human,,,
wish to mask ⎼ where: in public outdoor spaces,wish to mask,, ⎼ where: in public outdoor spaces,individual/human,,,
wish to work remotely ⎼ where: from home,wish to work remotely,, ⎼ where: from home,individual/human,,,
wish to work remotely,wish to work remotely,,,individual/human,,,
wish to work remotely ⎽ when: after the COVID-19 pandemic,wish to work remotely,, ⎽ when: after the COVID-19 pandemic,individual/human,,,
difficulty of TB diagnosis,difficulty of TB diagnosis,,,individual/human,,,
difficulty of physical activity,difficulty of physical activity,,,individual/human,,,
distance from loved ones,distance from loved ones,,,social,,,
distance from healthcare provider ⎺ private,distance from healthcare provider,, ⎺ private,social,,,
distance from healthcare provider ⎺ public,distance from healthcare provider,, ⎺ public,social,,,
distance from healthcare provider,distance from healthcare provider,,,social,,,
disturbance to neighbors,disturbance to neighbors,,,social,,,
duration of COVID-19 pandemic,duration of COVID-19 pandemic,,,social,,,
condition of green space ecosystems,condition of green space ecosystems,,,ecological/natural,,,
effectiveness of health interventions,effectiveness of health interventions,,,social,,,
effectiveness of customizing engagement models ,effectiveness of customizing engagement models ,,,governmental/political,,,
effectiveness of customizing HIV interventions,effectiveness of customizing HIV interventions,,,governmental/political,,,
effectiveness of health education and communication,effectiveness of health education and communication,,,social,,,
strength of best practice monitoring for private providers,strength of best practice monitoring for private providers,,,governmental/political,,,
effectiveness of quality improvement programs ⎻ subject: provider (public),effectiveness of quality improvement programs,, ⎻ subject: provider (public),governmental/political,,,
effectiveness of TB strategy,effectiveness of TB strategy,,,social,,,
effectiveness of TB targets and commitments,effectiveness of TB targets and commitments,,,governmental/political,,,
efficiency of grocery trips,efficiency of grocery trips,,,individual/human,,,
efficiency of learning,efficiency of learning,,,individual/human,,,
satisfaction with cooking at home,satisfaction with cooking at home,,,individual/human,,,
 of equity ⎺ TB care, of equity,, ⎺ TB care,social,,,
 of data equity, of data equity,,,digital,,,
fatigue from shopping ⎺ mental,fatigue from shopping,, ⎺ mental,individual/human,,,
strength of anti-mask sentiment,strength of anti-mask sentiment,,,individual/human,,,
access to natural light,access to natural light,,,ecological/natural,,,
practice of quality improvement for TB care,practice of quality improvement for TB care,,,social,,,
awareness of capabilities of group members,awareness of capabilities of group members,,,individual/human,,,
 with videoconferencing, with videoconferencing,,,individual/human,,,
 with market layout, with market layout,,,individual/human,,,
 with options for private healthcare, with options for private healthcare,,,individual/human,,,
 with TB, with TB,,,individual/human,,,
quality of TB services ⎻ subject: provider (private),quality of TB services,, ⎻ subject: provider (private),social,,,
flexibility in work schedule,flexibility in work schedule,,,social,,,
frequency of requesting telehealth,frequency of requesting telehealth,,,social,,,
frequency of bringing lunch to work,frequency of bringing lunch to work,,,individual/human,,,
frequency of cooking at home,frequency of cooking at home,,,individual/human,,,
frequency of eating out ,frequency of eating out ,,,manufactured,,,
frequency of shopping ⎼ where: grocery stores,frequency of shopping,, ⎼ where: grocery stores,manufactured,,,
frequency of shopping ⎼ where: in-person,frequency of shopping,, ⎼ where: in-person,manufactured,,,
practice of observation as part of treatment protocol,practice of observation as part of treatment protocol,,,social,,,
practice of one-on-one engagement with private providers,practice of one-on-one engagement with private providers,,,social,,,
frequency of shopping ⎼ where: online,frequency of shopping,, ⎼ where: online,digital,,,
frequency of eating out ⎺ delivery,frequency of eating out,, ⎺ delivery,manufactured,,,
frequency of travel ⎼ where: overseas,frequency of travel,, ⎼ where: overseas,individual/human,,,
frequency of shopping ⎺ personal protective equipment,frequency of shopping,, ⎺ personal protective equipment,manufactured,,,
practice of symptomatic treatment of TB ⎻ subject: provider (private),practice of symptomatic treatment of TB,, ⎻ subject: provider (private),social,,,
prevalence of chronic TB comorbidities,prevalence of chronic TB comorbidities,,,social,"HIV, asthma
",,
probability of TB treatment completion,probability of TB treatment completion,,,individual/human,,,
frequency of videoconferencing,frequency of videoconferencing,,,digital,,,
practice of hygiene ⎺ hand washing,practice of hygiene,, ⎺ hand washing,individual/human,,,
frequency of cleaning masks,frequency of cleaning masks,,,manufactured,,,
use of reusable masks,use of reusable masks,,,manufactured,,,
rate of COVID-19 case increase,rate of COVID-19 case increase,,,ecological/natural,,,
time spent  sleeping,time spent  sleeping,,,individual/human,,,
time spent  working,time spent  working,,,individual/human,,,
necessity for in-person interactions ⎻ subject: event,necessity for in-person interactions,, ⎻ subject: event,social,,,
influence ⎻ subject: provider (private),influence,, ⎻ subject: provider (private),social,,,
wish to impulse-buy basic necessities,wish to impulse-buy basic necessities,,,individual/human,,,
wish to impulse-buy personal protective equipment,wish to impulse-buy personal protective equipment,,,individual/human,,,
strength of financial incentives ⎺ nonstandard TB management,strength of financial incentives,, ⎺ nonstandard TB management,financial,,,
strength of incentives ⎺ inappropriate behavior ⎻ subject: provider (private),strength of incentives,, ⎺ inappropriate behavior ⎻ subject: provider (private),cultural,,,
prevalence of TB,prevalence of TB,,,social,,,
value of gross national income,value of gross national income,,,financial,,GNI,
suspicion of TB infection ⎻ subject: provider (private),suspicion of TB infection,, ⎻ subject: provider (private),social,,,
influence on patient ⎻ subject: community health worker,influence on patient,, ⎻ subject: community health worker,social,,,
influence on patient ⎻ subject: others (community),influence on patient,, ⎻ subject: others (community),social,,,
influence on patient ⎻ subject: provider (family physician),influence on patient,, ⎻ subject: provider (family physician),social,,,
influence on patient ⎻ subject: family (health professional),influence on patient,, ⎻ subject: family (health professional),social,,,
influence on TB care pathway ⎻ subject: provider (private),influence on TB care pathway,, ⎻ subject: provider (private),social,,,
duration of interval between approaching different providers,duration of interval between approaching different providers,,,individual/human,,,
awareness of news via word of mouth,awareness of news via word of mouth,,,individual/human,,,
awareness of family members' personal lives,awareness of family members' personal lives,,,individual/human,,,
" of legality ⎻ subject: provider (private, informal)", of legality,," ⎻ subject: provider (private, informal)",social,,,
time spent  waiting in line ⎽ when: at lunchtime,time spent  waiting in line,, ⎽ when: at lunchtime,manufactured,,,
tendency to seek care,tendency to seek care,,,individual/human,,health-seeking behavior,
acceptance of circumstances,acceptance of circumstances,,,individual/human,,,
 of accountability ⎺ healthcare system, of accountability,, ⎺ healthcare system,governmental/political,,,
complexity of public healthcare administration,complexity of public healthcare administration,,,governmental/political,,,
anger,anger,,,individual/human,,,
anxiety,anxiety,,,individual/human,,,
perception of anxiety in people nearby,perception of anxiety in people nearby,,,social,,,
anxiety about going outside,anxiety about going outside,,,individual/human,,,
boredom,boredom,,,individual/human,,,
 of centralization of public healthcare, of centralization of public healthcare,,,governmental/political,,,
certainty,certainty,,,individual/human,,,
comfort,comfort,,,individual/human,,,
comfort with being in public,comfort with being in public,,,individual/human,,,
 of community sensitization, of community sensitization,,,cultural,,,
concern for health of others,concern for health of others,,,individual/human,,,
concern for patient ⎻ subject: family,concern for patient,, ⎻ subject: family,social,,,
concern for physical health,concern for physical health,,,individual/human,,,
confidence in personal protective equipment,confidence in personal protective equipment,,,individual/human,,,
quality of remote teaching,quality of remote teaching,,,social,,,
quality of note-taking ⎻ subject: education (learner),quality of note-taking,, ⎻ subject: education (learner),individual/human,,,
 of education, of education,,,individual/human,,,
support received from parents ⎺ emotional,support received from parents,, ⎺ emotional,social,,,
income ⎺ expendable,income,, ⎺ expendable,financial,,,
support given to household ⎺ financial,support given to household,, ⎺ financial,financial,,,
 of financial security ⎻ subject: local producer, of financial security,, ⎻ subject: local producer,financial,,,
 of food security, of food security,,,individual/human,,,
frustration,frustration,,,individual/human,,,
satisfaction ⎻ subject: fishermen,satisfaction,, ⎻ subject: fishermen,individual/human,,,
 of housing security, of housing security,,,individual/human,,,
 of impoverishment, of impoverishment,,,individual/human,,,
income,income,,,financial,,,
difficulty of unmasking,difficulty of unmasking,,,manufactured,,,
support given to quality improvement efforts ⎻ subject: organization (any),support given to quality improvement efforts,, ⎻ subject: organization (any),cultural,,,
perception of panic ⎺ family,perception of panic,, ⎺ family,social,,,
practice of patient-centered care,practice of patient-centered care,,,cultural,,,
 of physical activity, of physical activity,,,individual/human,,,
practice of passive TB case identification,practice of passive TB case identification,,,social,,,
 of self-efficacy, of self-efficacy,,,individual/human,,,
 of self-reliance, of self-reliance,,,individual/human,,,
ability to create digital media,ability to create digital media,,,digital,,,
 of social consciousness ⎻ subject: provider (private), of social consciousness,, ⎻ subject: provider (private),cultural,,,
practice of social distancing ⎼ where: at events,practice of social distancing,, ⎼ where: at events,social,,,
 of stigmatization ⎻ subject: condition (TB), of stigmatization,, ⎻ subject: condition (TB),cultural,,,
strength of social welfare system,strength of social welfare system,,,governmental/political,,,
 of spatial resolution of performance data, of spatial resolution of performance data,,,digital,,,
stress,stress,,,individual/human,,,
suspicion of COVID-19 infection,suspicion of COVID-19 infection,,,individual/human,,,
engagement with private providers,engagement with private providers,,,social,,,
trust in information ⎻ subject: local vendor,trust in information,, ⎻ subject: local vendor,social,,,
availability of vacant housing,availability of vacant housing,,,manufactured,,,
 of productivity, of productivity,,,individual/human,,,
 of workload, of workload,,,individual/human,,,
probability of coinfection with HIV,probability of coinfection with HIV,,,individual/human,,,
probability of diagnostic confounding of TB,probability of diagnostic confounding of TB,,,individual/human,,,
probability of correct TB case management,probability of correct TB case management,,,individual/human,,,
probability of TB presentation with flu-like symptoms,probability of TB presentation with flu-like symptoms,,,individual/human,cough and fever,,
probability of simultaneous public and private practice ⎻ subject: provider (any),probability of simultaneous public and private practice,, ⎻ subject: provider (any),social,,,
probability of environmental allergies,probability of environmental allergies,,,individual/human,,,
probability of infection with extrapulmonary TB,probability of infection with extrapulmonary TB,,,individual/human,,EPTB,
probability of infection with sputum-negative pulmonary TB,probability of infection with sputum-negative pulmonary TB,,,individual/human,,,
probability of liquidating financial assets,probability of liquidating financial assets,,,financial,,,
probability of liquidating physical assets,probability of liquidating physical assets,,,manufactured,,,
probability of misdiagnosis of TB,probability of misdiagnosis of TB,,,individual/human,,,
probability of misattribution of TB sources and risk factors,probability of misattribution of TB sources and risk factors,,,individual/human,,,
preference for formal private providers,preference for formal private providers,,,individual/human,,,
probability of TB presentation with abnormal chest X-ray,probability of TB presentation with abnormal chest X-ray,,,individual/human,,,
probability of TB presentation with extrapulmonary symptoms,probability of TB presentation with extrapulmonary symptoms,,,individual/human,,,
probability of TB presentation with positive cultured sputum test,probability of TB presentation with positive cultured sputum test,,,individual/human,,,
probability of TB case detection,probability of TB case detection,,,individual/human,,,
fatigue ⎺ mental,fatigue,, ⎺ mental,individual/human,,,
spending on shopping ⎼ where: online,spending on shopping,, ⎼ where: online,financial,,,
spending on event planning,spending on event planning,,,financial,,,
spending on recreational activities,spending on recreational activities,,,financial,,,
spending on cooking ⎺ for household,spending on cooking,, ⎺ for household,financial,,,
motivation to work,motivation to work,,,individual/human,,,
motivation to protest,motivation to protest,,,individual/human,,,
motivation to study,motivation to study,,,individual/human,,,
dependence on caregiver,dependence on caregiver,,,social,,,
disturbance ⎺  from neighbors,disturbance,, ⎺  from neighbors,social,,,
availability of alternatives to medical-grade masks,availability of alternatives to medical-grade masks,,,manufactured,,,
consumption of work from home equipment,consumption of work from home equipment,,,manufactured,,,
time spent  attempting to change routine,time spent  attempting to change routine,,,social,,,
number of people returning from abroad,number of people returning from abroad,,,social,,,
number of community members providing assistance,number of community members providing assistance,,,social,,,
number of in-person workdays ⎽ when: during the COVID-19 pandemic,number of in-person workdays,, ⎽ when: during the COVID-19 pandemic,governmental/political,,,
time spent  in quarantine,time spent  in quarantine,,,governmental/political,,,
instances of distraction,instances of distraction,,,individual/human,,,
instances of distraction ⎽ when: while remote learning,instances of distraction,, ⎽ when: while remote learning,individual/human,,,
instances of distraction ⎽ when: while working,instances of distraction,, ⎽ when: while working,individual/human,,,
instances of event cancellation,instances of event cancellation,,,social,,,
spending ⎺ COVID-19 pandemic,spending,, ⎺ COVID-19 pandemic,financial,,,
number of formal private providers,number of formal private providers,,,social,,,
length of patient pathway to TB diagnosis,length of patient pathway to TB diagnosis,,,individual/human,,,
constraint ⎺ by household rules,constraint,, ⎺ by household rules,social,,,
instances of in-person study activity,instances of in-person study activity,,,social,,,
